127.0.0.1 - - [26/Mar/2024:15:45:19 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:45:20 +0530] "GET /TechCraft/ HTTP/1.1" 200 19330
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:45:20 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:45:20 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:45:20 +0530] "GET /TechCraft/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:45:20 +0530] "GET /TechCraft/media/play.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:45:20 +0530] "GET /TechCraft/media/freelancer.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:45:20 +0530] "GET /TechCraft/media/organizational-agility.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:45:20 +0530] "GET /TechCraft/media/website.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:45:20 +0530] "GET /TechCraft/media/code-simple.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:45:20 +0530] "GET /TechCraft/media/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:45:20 +0530] "GET /TechCraft/media/easter-egg-hunt.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:45:20 +0530] "GET /TechCraft/media/black-user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:45:20 +0530] "GET /TechCraft/media/mobile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:45:20 +0530] "GET /TechCraft/media/email.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:45:20 +0530] "GET /TechCraft/media/task.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:45:20 +0530] "GET /TechCraft/media/lock.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:45:20 +0530] "GET /TechCraft/media/confirm.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:45:20 +0530] "GET /TechCraft/media/Google.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:45:20 +0530] "GET /TechCraft/media/Facebook.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:45:20 +0530] "GET /TechCraft/media/Instagram.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:45:20 +0530] "GET /TechCraft/media/Linkedin.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:45:20 +0530] "GET /TechCraft/media/success.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:45:20 +0530] "GET /TechCraft/media/techback.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:45:20 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:46:26 +0530] "POST /TechCraft/StudentRegistration HTTP/1.1" 200 19650
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:46:26 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:46:26 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:50:37 +0530] "POST /TechCraft/StudentLogin HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:50:37 +0530] "GET /TechCraft/media/cloud-computing.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:50:37 +0530] "GET /TechCraft/studentHome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:51:02 +0530] "GET /TechCraft/StudentLogout? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:51:02 +0530] "GET /TechCraft/index.jsp HTTP/1.1" 200 19330
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:51:02 +0530] "GET /TechCraft/sweetalert2.min.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [26/Mar/2024:15:51:02 +0530] "GET /TechCraft/sweetalert2.min.js HTTP/1.1" 404 783
